#{"t_start": 1616185747.5798557, "env_id": "ur5e_reacher-v2"}
r,l,t
-1499.34964,2000,5.76653
-731.709929,2000,35.397932
-2804.203167,2000,64.102142
-1256.956076,2000,93.926788
-829.752414,2000,125.390287
-1029.968384,2000,156.952798
-1893.374144,2000,186.737213
-1255.712583,2000,217.414276
-643.036257,2000,247.671029
-1590.175335,2000,278.953136
-1103.435247,2000,310.080683
-849.702595,2000,341.990223
-974.702112,2000,376.614483
-906.713584,2000,411.183514
-1637.996067,2000,446.167403
-972.001769,2000,480.81347
-1243.901055,2000,515.662931
-1313.291357,2000,549.899999
-458.715345,2000,584.278543
-1172.105232,2000,618.815036
-1162.951211,2000,653.595307
-1432.499205,2000,688.031862
-1526.946455,2000,722.308494
-1483.657777,2000,757.059004
-614.964984,2000,791.933963
-1770.472724,2000,826.588958
-1114.27362,2000,861.248544
-1223.174646,2000,895.687624
-1304.077885,2000,930.269455
-981.822804,2000,965.037118
-1270.46875,2000,999.674099
-652.994793,2000,1034.433439
-776.589849,2000,1068.54408
-894.128258,2000,1103.091481
-771.12692,2000,1137.91536
-909.525857,2000,1172.030751
-1257.38407,2000,1207.048744
-1092.641781,2000,1242.01442
-450.040476,2000,1275.378862
-602.264381,2000,1310.250322
-1234.270944,2000,1344.923311
-1798.894245,2000,1379.699147
-780.780062,2000,1414.748424
-1511.564071,2000,1449.352797
-2092.926477,2000,1483.740983
-836.762875,2000,1517.845002
-2037.668158,2000,1553.006109
-1296.349142,2000,1588.497054
-1107.492983,2000,1622.765561
-805.263345,2000,1657.302587
-1173.116589,2000,1692.106315
-1234.941973,2000,1727.455601
-1545.988322,2000,1762.214427
-836.654756,2000,1797.284348
-864.134753,2000,1831.750371
-2045.540835,2000,1866.663675
-1199.485143,2000,1901.285349
-1786.723973,2000,1936.747452
-860.455528,2000,1972.150005
-1435.97823,2000,2007.288534
-944.89154,2000,2041.413331
-1682.526842,2000,2075.768192
-568.737253,2000,2110.634574
-887.998186,2000,2144.841786
-699.950459,2000,2179.630651
-1590.102432,2000,2214.155527
-1588.320814,2000,2248.836824
-2714.900159,2000,2283.35271
-1990.190436,2000,2318.057404
-2692.241597,2000,2352.665611
-1218.666348,2000,2386.972957
-416.334453,2000,2421.948248
-856.237322,2000,2456.805379
-773.93454,2000,2491.3864
-1765.125399,2000,2525.818019
-775.516216,2000,2560.155514
-1342.171179,2000,2594.312248
-972.731337,2000,2628.783827
-941.402068,2000,2662.307641
-1837.651383,2000,2696.422881
-2059.365901,2000,2730.389653
-1908.093425,2000,2764.631821
-714.703182,2000,2798.519879
-1246.920476,2000,2833.65198
-313.968963,2000,2869.11934
-1271.79502,2000,2903.270538
-1324.66754,2000,2937.768604
-431.313383,2000,2971.821034
-826.617375,2000,3005.958793
-1477.700516,2000,3040.530154
-1726.469105,2000,3074.744688
-1158.530957,2000,3108.63678
-845.808393,2000,3143.15513
-1067.970647,2000,3176.915093
-590.686736,2000,3211.571011
-1087.73906,2000,3246.000373
-1062.651404,2000,3280.634354
-871.627205,2000,3315.381093
-1344.225806,2000,3349.905764
-1378.377931,2000,3384.19001
-1370.465183,2000,3418.6126
-873.343042,2000,3452.540585
-1288.858041,2000,3487.256407
-1468.252097,2000,3521.484048
-943.145981,2000,3555.839134
-1009.163956,2000,3590.298218
-801.504786,2000,3624.843774
-914.307258,2000,3659.73034
-1607.258262,2000,3693.53398
-953.107702,2000,3727.401363
-1087.384908,2000,3762.500928
-795.297676,2000,3796.878083
-1823.974736,2000,3831.090448
-1118.811184,2000,3866.129855
-2327.348589,2000,3900.38471
-1277.402563,2000,3934.880959
-603.947716,2000,3969.497057
-911.238202,2000,4003.802501
-1909.599114,2000,4038.338503
-419.382162,2000,4072.681334
-1257.152865,2000,4106.713255
-1133.805378,2000,4141.403594
-975.036485,2000,4175.908033
-1550.059885,2000,4210.144174
-2478.87275,2000,4244.201729
-1696.167226,2000,4323.503944
-762.551907,2000,4357.115501
-1422.064557,2000,4391.301237
-1379.379685,2000,4424.439806
-1728.158889,2000,4457.49664
-506.67837,2000,4492.685669
-1613.898455,2000,4526.517762
-1283.742473,2000,4561.674881
-1056.420749,2000,4593.605443
-1331.257527,2000,4626.505557
-1803.322638,2000,4661.164246
-741.454097,2000,4695.549774
-2418.632486,2000,4730.09588
-1788.810137,2000,4765.069342
-1623.856111,2000,4800.113895
-675.764992,2000,4834.369047
-1175.842867,2000,4869.211864
-887.225613,2000,4903.393002
-1797.895601,2000,4937.949219
-1102.33592,2000,4972.745946
-1167.988655,2000,5006.87836
-741.859355,2000,5041.56
-730.150376,2000,5076.624675
-696.631891,2000,5111.828125
-2943.432484,2000,5146.216079
-880.651086,2000,5181.303879
-523.397839,2000,5216.279922
-911.671517,2000,5251.172905
-1408.263858,2000,5285.805624
-919.578289,2000,5321.21847
-669.444325,2000,5356.056717
-1129.000663,2000,5390.000698
-780.261668,2000,5424.861506
-796.436451,2000,5459.459721
-503.417455,2000,5493.642277
-803.154926,2000,5528.093586
