#{"t_start": 1616186086.30698, "env_id": "ur5e_reacher-v6"}
r,l,t
-4.0,200,2.728976
-4.0,200,6.135066
-4.0,200,9.504077
-4.0,200,12.956703
-4.0,200,16.367896
-4.0,200,20.142317
-4.0,200,23.651763
-4.0,200,26.965451
-4.0,200,30.240595
-4.0,200,33.669587
-4.0,200,37.208794
-4.0,200,40.751218
-4.0,200,44.15882
-4.0,200,47.379366
-4.0,200,50.827371
-4.0,200,54.377613
-4.0,200,57.960706
-4.0,200,61.2227
-4.0,200,64.862804
-4.0,200,68.480297
-4.0,200,71.866967
-4.0,200,75.246332
-4.0,200,78.569484
-4.0,200,82.092227
-4.0,200,85.465155
-4.0,200,89.158872
-4.0,200,92.593754
-4.0,200,95.905796
-4.0,200,99.364849
-4.0,200,103.127981
-4.0,200,106.369658
-4.0,200,109.968085
-4.0,200,113.37785
-4.0,200,117.026845
-4.0,200,120.367233
-4.0,200,124.025525
-4.0,200,127.510185
-4.0,200,130.831657
-4.0,200,134.258145
-4.0,200,137.653612
-4.0,200,140.987521
-4.0,200,144.400828
-4.0,200,147.752359
-4.0,200,151.350905
-4.0,200,154.944218
-4.0,200,158.310611
-4.0,200,161.853755
-4.0,200,165.164142
-4.0,200,168.491732
-4.0,200,172.128556
-4.0,200,175.576531
-4.0,200,179.015731
-4.0,200,182.353838
-4.0,200,185.844035
-4.0,200,189.186515
-4.0,200,192.838595
-4.0,200,196.529054
-4.0,200,199.680556
-4.0,200,202.887428
-4.0,200,206.408916
-4.0,200,209.759994
-4.0,200,213.055393
-4.0,200,216.354838
-4.0,200,220.02533
-4.0,200,223.344357
-4.0,200,226.819216
-4.0,200,230.554749
-4.0,200,233.788212
-4.0,200,236.939758
-4.0,200,240.330328
-4.0,200,243.678451
-4.0,200,246.75888
-4.0,200,250.058999
-4.0,200,253.67693
-4.0,200,257.103166
-4.0,200,260.679857
-4.0,200,264.321141
-4.0,200,267.801152
-4.0,200,271.08203
-4.0,200,274.828285
-4.0,200,278.326281
-4.0,200,281.748656
-4.0,200,285.148097
-4.0,200,288.735107
-4.0,200,292.487143
-4.0,200,295.885186
-4.0,200,299.398491
-4.0,200,302.852043
-4.0,200,306.242064
-4.0,200,309.934677
-4.0,200,313.403888
-4.0,200,316.625474
-4.0,200,319.974273
-4.0,200,323.549961
-4.0,200,327.341154
-4.0,200,330.699155
-4.0,200,334.154037
-4.0,200,337.710504
-4.0,200,340.929063
-4.0,200,344.594265
-4.0,200,347.977615
-4.0,200,351.44459
-4.0,200,354.879373
-4.0,200,358.545444
-4.0,200,362.2064
-4.0,200,365.631714
-4.0,200,369.21601
-4.0,200,372.579272
-4.0,200,375.580202
-4.0,200,378.979013
-4.0,200,382.315381
-4.0,200,385.692828
-4.0,200,389.207454
-4.0,200,392.963861
-4.0,200,396.579363
-4.0,200,400.022671
-4.0,200,403.555191
-4.0,200,406.836964
-4.0,200,410.110755
-4.0,200,413.669312
-4.0,200,416.966211
-4.0,200,420.469192
-4.0,200,424.02731
-4.0,200,427.6263
-4.0,200,431.077176
-4.0,200,434.52855
-4.0,200,437.926664
-4.0,200,441.441858
-4.0,200,444.519106
-4.0,200,447.91012
-4.0,200,451.306041
-4.0,200,454.556651
-4.0,200,458.052355
-4.0,200,461.457989
-4.0,200,465.07872
-4.0,200,468.796026
-4.0,200,472.343181
-4.0,200,476.003271
-4.0,200,479.317729
-4.0,200,482.75508
-4.0,200,486.084177
-4.0,200,489.260056
-4.0,200,492.893783
-4.0,200,496.57471
-4.0,200,500.263149
-4.0,200,503.964159
-4.0,200,507.435983
-4.0,200,511.011157
-4.0,200,514.085005
-4.0,200,517.563542
-4.0,200,520.974335
-4.0,200,524.350552
-4.0,200,527.901204
-4.0,200,531.521059
-4.0,200,535.364579
-4.0,200,538.95827
-4.0,200,542.441325
-4.0,200,545.947907
-4.0,200,549.209016
-4.0,200,552.625734
-4.0,200,555.862012
-4.0,200,559.229924
-4.0,200,562.757628
-4.0,200,566.48607
-4.0,200,569.976451
-4.0,200,573.631417
-4.0,200,577.045782
-4.0,200,580.365007
-4.0,200,583.322367
-4.0,200,586.599715
-4.0,200,589.945221
-4.0,200,593.320734
-4.0,200,596.820916
-4.0,200,600.559711
-4.0,200,604.235443
-4.0,200,607.909444
-4.0,200,611.333225
-4.0,200,614.63055
-4.0,200,617.943188
-4.0,200,621.367138
-4.0,200,624.560167
-4.0,200,627.66521
-4.0,200,631.17976
-4.0,200,634.653847
-4.0,200,638.124638
-4.0,200,641.758932
-4.0,200,645.191103
-4.0,200,648.50118
-4.0,200,651.790969
-4.0,200,655.15551
-4.0,200,658.447146
-4.0,200,661.717365
-4.0,200,665.192358
-4.0,200,668.71563
-4.0,200,672.281911
-4.0,200,676.136323
-4.0,200,679.620926
-4.0,200,683.059161
-4.0,200,686.344534
-4.0,200,689.573804
-4.0,200,692.854343
-4.0,200,696.094985
-4.0,200,699.754032
-4.0,200,703.399909
-4.0,200,706.823694
-4.0,200,710.29734
-4.0,200,713.921199
-4.0,200,717.383775
-4.0,200,720.8417
-4.0,200,724.119578
-4.0,200,727.446934
-4.0,200,730.796025
-4.0,200,734.198809
-4.0,200,737.729791
-4.0,200,741.366918
-4.0,200,744.741206
-4.0,200,748.300216
-4.0,200,751.652389
-4.0,200,754.924448
-4.0,200,758.083082
-4.0,200,761.23757
-4.0,200,764.449668
-4.0,200,767.965526
-4.0,200,771.591496
-4.0,200,775.067836
-4.0,200,778.659843
-4.0,200,782.414907
-4.0,200,785.851948
-4.0,200,789.192077
-4.0,200,792.452055
-4.0,200,795.738657
-4.0,200,799.059079
-4.0,200,802.424309
-4.0,200,805.954083
-4.0,200,809.543428
-4.0,200,813.218217
-4.0,200,816.778229
-4.0,200,820.401845
-4.0,200,823.677766
-4.0,200,826.798249
-4.0,200,829.951204
-4.0,200,833.040569
-4.0,200,836.415857
-4.0,200,839.99404
-4.0,200,843.468872
-4.0,200,846.948526
-4.0,200,850.489913
-4.0,200,853.953565
-4.0,200,857.219277
-4.0,200,860.473655
-4.0,200,863.966063
-4.0,200,867.084426
-4.0,200,870.270818
-4.0,200,873.726131
-4.0,200,877.251347
-4.0,200,880.902025
-4.0,200,884.587602
-4.0,200,888.242801
-4.0,200,891.75025
-4.0,200,895.053058
-4.0,200,898.39929
-4.0,200,901.309974
-4.0,200,904.477159
-4.0,200,908.234531
-4.0,200,911.655615
-4.0,200,915.297218
-4.0,200,918.981927
-4.0,200,922.77018
-4.0,200,926.134841
-4.0,200,929.358013
-4.0,200,932.789179
-4.0,200,936.009547
-4.0,200,939.31365
-4.0,200,942.89103
-4.0,200,946.410491
-4.0,200,950.083069
-4.0,200,953.657126
-4.0,200,957.157156
-4.0,200,960.4274
-4.0,200,963.634761
-4.0,200,967.018813
-4.0,200,970.185217
-4.0,200,973.362991
-4.0,200,976.864391
-4.0,200,980.457607
-4.0,200,984.135271
-4.0,200,987.6418
-4.0,200,991.194835
-4.0,200,994.724154
-4.0,200,997.837571
-4.0,200,1001.173264
-4.0,200,1004.425827
-4.0,200,1007.440456
-4.0,200,1010.94439
-4.0,200,1014.590721
-4.0,200,1017.910243
-4.0,200,1021.527709
-4.0,200,1024.933365
-4.0,200,1028.521506
-4.0,200,1031.756656
-4.0,200,1035.035773
-4.0,200,1038.388172
-4.0,200,1041.241503
-4.0,200,1044.70959
-4.0,200,1048.261543
-4.0,200,1051.83765
-4.0,200,1055.467763
-4.0,200,1058.886024
-4.0,200,1062.559402
