#{"t_start": 1616185839.7633004, "env_id": "ur5e_reacher-v4"}
r,l,t
-40.0,2000,6.072979
-19.96,2000,37.520279
80.24,2000,69.349546
0.08,2000,99.928376
-40.0,2000,132.140562
20.12,2000,163.231729
-40.0,2000,195.442751
-19.96,2000,227.433034
-40.0,2000,262.216592
90.26,2000,296.748409
-40.0,2000,332.358706
-40.0,2000,367.732141
-40.0,2000,403.383565
-40.0,2000,437.912771
-40.0,2000,472.621833
-29.98,2000,507.923578
-40.0,2000,543.256395
-40.0,2000,578.704678
-40.0,2000,613.911487
110.3,2000,648.951493
-29.98,2000,684.292147
90.26,2000,718.862932
-40.0,2000,754.24958
-40.0,2000,790.244907
-40.0,2000,825.035438
-40.0,2000,859.992296
-29.98,2000,894.781344
0.08,2000,929.827959
110.3,2000,964.708568
-40.0,2000,999.610833
-9.94,2000,1034.786718
-40.0,2000,1070.623609
-40.0,2000,1105.623818
0.08,2000,1140.715071
-40.0,2000,1175.761828
10.1,2000,1211.203594
0.08,2000,1246.347388
-29.98,2000,1281.25417
-9.94,2000,1316.789735
-40.0,2000,1352.337786
-40.0,2000,1386.989018
-19.96,2000,1422.14039
40.16,2000,1457.2173
-40.0,2000,1492.922994
-9.94,2000,1527.93881
-40.0,2000,1562.681693
-40.0,2000,1597.825521
-29.98,2000,1633.194683
-40.0,2000,1669.5048
-29.98,2000,1704.734183
-40.0,2000,1740.237426
-19.96,2000,1774.571553
-9.94,2000,1809.821181
-40.0,2000,1845.439506
-9.94,2000,1880.428967
30.14,2000,1915.445956
0.08,2000,1950.859387
-40.0,2000,1985.290124
90.26,2000,2020.601342
-40.0,2000,2055.72222
-19.96,2000,2091.072231
-40.0,2000,2126.210927
30.14,2000,2160.967108
30.14,2000,2196.518957
-19.96,2000,2231.154456
-19.96,2000,2265.853289
-40.0,2000,2300.122626
60.2,2000,2334.31123
120.32,2000,2369.339059
110.3,2000,2404.030076
0.08,2000,2439.196897
-29.98,2000,2474.496918
70.22,2000,2509.309256
20.12,2000,2544.613377
40.16,2000,2580.044075
-40.0,2000,2614.449858
-40.0,2000,2649.344846
-19.96,2000,2684.477331
-29.98,2000,2719.929569
60.2,2000,2754.987283
30.14,2000,2789.759958
70.22,2000,2823.97104
-9.94,2000,2858.985784
230.54,2000,2893.070117
-40.0,2000,2927.67546
-40.0,2000,2963.199025
30.14,2000,2997.405468
70.22,2000,3031.98252
0.08,2000,3066.584703
220.52,2000,3101.220835
-40.0,2000,3135.925195
30.14,2000,3170.818977
-19.96,2000,3205.808532
-29.98,2000,3240.3013
-40.0,2000,3275.025048
0.08,2000,3310.187869
20.12,2000,3345.649524
4819.7,2000,3379.870177
-40.0,2000,3414.672056
-40.0,2000,3449.331297
80.24,2000,3484.248524
-29.98,2000,3519.196368
-40.0,2000,3553.91262
-29.98,2000,3587.585711
-40.0,2000,3622.921708
10.1,2000,3657.956581
-19.96,2000,3692.89955
-40.0,2000,3728.012061
-40.0,2000,3763.320026
250.58,2000,3798.089828
-40.0,2000,3833.130021
20.12,2000,3867.765514
190.46,2000,3903.016704
-40.0,2000,3938.214064
-9.94,2000,3971.805018
30.14,2000,4006.765047
-40.0,2000,4041.161526
-40.0,2000,4076.738506
-29.98,2000,4112.316923
-19.96,2000,4146.953558
-40.0,2000,4179.178649
-40.0,2000,4211.622454
-29.98,2000,4244.799054
-9.94,2000,4279.87173
-40.0,2000,4314.646675
781.64,2000,4396.551634
-29.98,2000,4431.185351
0.08,2000,4466.181854
50.18,2000,4499.330549
-29.98,2000,4532.988491
20.12,2000,4567.713523
-40.0,2000,4602.423434
-40.0,2000,4638.140856
40.16,2000,4672.772994
-40.0,2000,4707.396599
20.12,2000,4742.392589
-40.0,2000,4778.064269
-40.0,2000,4812.259811
10.1,2000,4848.096204
300.68,2000,4883.527498
-40.0,2000,4918.813395
140.36,2000,4953.315179
190.46,2000,4987.794482
-40.0,2000,5022.086869
-40.0,2000,5056.561864
-9.94,2000,5090.564221
0.08,2000,5125.157518
-9.94,2000,5160.337608
-9.94,2000,5195.078345
