#{"t_start": 1616185698.5673196, "env_id": "ur5e_reacher-v1"}
r,l,t
-840.698683,2000,7.022295
-1496.313115,2000,37.99991
-969.517887,2000,68.015265
-1618.820879,2000,98.863431
-1763.326915,2000,129.849862
-1746.304058,2000,161.084471
-758.48687,2000,192.240339
-1297.085509,2000,223.348638
-1654.625214,2000,254.055213
-864.813859,2000,285.09398
-996.105238,2000,316.660632
-972.875899,2000,348.378364
-1501.803906,2000,380.981275
-464.958599,2000,415.134623
-858.453317,2000,449.128629
-910.325915,2000,483.971406
-760.616168,2000,518.905691
-625.20758,2000,553.456253
-1061.171016,2000,588.363666
-1289.313321,2000,623.109486
-1007.978859,2000,657.539381
-1180.706181,2000,693.188471
-1249.353269,2000,728.640028
-1494.091825,2000,763.485619
-1197.253158,2000,798.318353
-961.983229,2000,833.774719
-1154.587056,2000,868.269979
-2190.896362,2000,903.416057
-1178.911498,2000,938.605568
-1674.518167,2000,973.997142
-1606.970681,2000,1009.111161
-1027.28946,2000,1043.946779
-1072.029073,2000,1079.346081
-1043.259402,2000,1114.389002
-1112.23251,2000,1149.357951
-1597.298272,2000,1184.3841
-980.290643,2000,1219.569334
-1839.676934,2000,1254.435738
-901.271556,2000,1289.20736
-1338.092809,2000,1323.767458
-647.983116,2000,1359.689873
-1394.65533,2000,1394.521268
-1836.745256,2000,1429.532079
-1188.46522,2000,1464.529568
-1819.563622,2000,1499.61401
-168.197665,2000,1535.638011
-975.744518,2000,1571.02307
-758.025455,2000,1605.779337
-938.51978,2000,1641.305228
-1015.936147,2000,1676.127171
-1497.949224,2000,1711.408338
-1064.67505,2000,1747.021415
-810.738301,2000,1783.213119
-739.998614,2000,1818.454797
-731.726647,2000,1853.190622
-1144.66588,2000,1888.207273
-932.607967,2000,1923.050304
-968.465038,2000,1959.170654
-510.376573,2000,1994.463364
-883.023785,2000,2029.456119
-1100.781746,2000,2064.820722
-1064.204251,2000,2100.273724
-1514.229781,2000,2135.342428
-790.390891,2000,2171.507553
-2636.949453,2000,2207.261824
-1675.375959,2000,2243.005737
-975.20619,2000,2278.133696
-1427.582318,2000,2313.438747
-1222.020052,2000,2349.064019
-1017.083718,2000,2383.61958
-723.326744,2000,2418.272429
-1135.830151,2000,2453.865758
-500.932707,2000,2488.705602
-805.510057,2000,2522.845429
-1642.361656,2000,2557.909508
-735.658123,2000,2593.017762
-1434.127946,2000,2628.001865
-1344.170219,2000,2663.657166
-1030.936657,2000,2698.244902
-1866.339952,2000,2733.550218
-1212.239643,2000,2768.492473
-1450.220017,2000,2803.821001
-728.829751,2000,2838.903539
-919.299751,2000,2873.720215
-1700.054387,2000,2908.732814
-1130.049958,2000,2943.132608
-638.820446,2000,2978.652193
-908.200403,2000,3013.496002
-950.930878,2000,3048.172092
-1605.751186,2000,3083.782103
-1417.01252,2000,3118.786495
-2137.774081,2000,3153.07306
-1277.43076,2000,3188.179653
-1723.499547,2000,3222.139563
-1343.084835,2000,3256.792237
-1236.933316,2000,3291.712962
-873.80706,2000,3325.790318
-978.560178,2000,3360.665965
-945.906099,2000,3395.219161
-499.86231,2000,3428.803586
-625.69113,2000,3463.611633
-809.364862,2000,3498.518545
-1163.135932,2000,3534.115521
-1154.26666,2000,3568.132886
-1399.671301,2000,3603.010906
-1554.512532,2000,3637.715996
-1303.594951,2000,3672.446101
-804.44571,2000,3707.041702
-1470.164704,2000,3741.733031
-699.21638,2000,3776.712997
-1138.749198,2000,3811.532184
-1013.312569,2000,3846.157835
-1004.147437,2000,3880.581913
-1271.769105,2000,3915.272021
-1398.93646,2000,3949.223132
-1695.022509,2000,3983.19357
-737.743818,2000,4018.490953
-1812.043687,2000,4053.375063
-953.80127,2000,4087.990482
-623.505011,2000,4123.194332
-672.734418,2000,4158.283045
-1544.954711,2000,4193.796585
-1006.935224,2000,4229.029128
-803.926314,2000,4264.12078
-1584.116246,2000,4298.368711
-1719.648298,2000,4377.871526
-1491.97034,2000,4412.009656
-1746.594304,2000,4446.206537
-1374.560689,2000,4479.182546
-1561.042639,2000,4512.583982
-1102.677939,2000,4546.393478
-1025.173025,2000,4580.636596
-1290.31052,2000,4615.301497
-1314.718239,2000,4648.332909
-1128.294534,2000,4681.826752
-1392.760477,2000,4716.38351
-1235.298726,2000,4750.484368
-1199.464107,2000,4784.65403
-624.764093,2000,4819.696818
-910.137024,2000,4854.45899
-1556.383042,2000,4889.279106
-1830.882976,2000,4924.251949
-859.625258,2000,4959.630604
-1458.543796,2000,4995.18839
-1110.503196,2000,5030.159356
-2344.313595,2000,5064.956661
-941.112487,2000,5099.213335
-1228.938391,2000,5133.283702
-1178.454016,2000,5168.09121
-1195.009707,2000,5203.210558
-1178.344815,2000,5238.052459
-1821.016943,2000,5272.806236
-1759.811028,2000,5307.597253
-1842.663798,2000,5342.10741
-1864.884967,2000,5377.268054
-864.348196,2000,5411.81833
-1685.777659,2000,5446.742258
-1038.997132,2000,5482.156625
-1711.551874,2000,5517.779521
-1394.585763,2000,5552.358934
-584.294471,2000,5586.80888
-1021.022228,2000,5621.41163
-1366.658329,2000,5655.557527
-599.280136,2000,5689.768385
-1632.239474,2000,5724.639038
-1751.569847,2000,5759.056806
-793.323118,2000,5794.217179
-664.657095,2000,5828.549304
-1528.108252,2000,5862.999094
-1102.208764,2000,5897.622758
-1000.125152,2000,5933.077834
-1166.283468,2000,5967.978062
-904.446192,2000,6001.589765
-1319.36365,2000,6035.701554
-1497.640179,2000,6070.566934
-1010.276477,2000,6105.378987
-1168.144315,2000,6140.173256
-1309.975953,2000,6175.525306
-583.010554,2000,6210.061707
-1238.318145,2000,6244.849898
-857.337785,2000,6279.950503
-883.963966,2000,6314.998238
-1551.571552,2000,6349.732726
-675.256445,2000,6384.471833
-1600.478135,2000,6419.276005
-1283.383758,2000,6453.167978
-1152.078136,2000,6488.103734
-1106.3139,2000,6522.629413
-1587.318844,2000,6558.006435
-1609.945403,2000,6591.510636
-1808.056444,2000,6625.705038
-1411.551214,2000,6660.704023
-848.702875,2000,6695.893511
-531.544767,2000,6730.906136
-2404.558991,2000,6765.920275
-1172.359072,2000,6800.846732
-1004.66704,2000,6835.75673
-1176.306861,2000,6871.126673
-1553.639048,2000,6905.972822
-826.516958,2000,6940.423047
-1207.183148,2000,6975.222358
-975.179471,2000,7009.305629
-627.743675,2000,7044.021693
-2007.21018,2000,7078.612123
-825.931012,2000,7113.402169
-799.591091,2000,7147.603111
-953.696572,2000,7183.227847
-1996.098051,2000,7218.545306
-922.763648,2000,7253.386795
-565.987441,2000,7288.088921
-1493.296973,2000,7322.502761
-1016.381782,2000,7357.332545
-1124.254594,2000,7392.181978
-1671.159199,2000,7426.931603
-1595.788727,2000,7461.722697
-1431.583888,2000,7496.257899
-2500.29514,2000,7531.206634
-1149.959789,2000,7566.263696
-622.661436,2000,7600.3519
-1249.939784,2000,7635.005885
-1817.259673,2000,7669.339912
-1053.923048,2000,7703.858882
-1487.191262,2000,7738.828281
-1592.984783,2000,7774.014075
-574.448874,2000,7808.588483
-1324.036179,2000,7844.358631
-1844.900448,2000,7878.925009
-1582.679194,2000,7914.053828
-1291.788522,2000,7949.181992
-3031.294032,2000,7984.596454
-1184.580308,2000,8019.450313
-836.934912,2000,8054.41024
-723.373913,2000,8089.7472
-1736.279915,2000,8124.538218
-1385.587101,2000,8159.198199
-927.249272,2000,8194.299034
-2268.532545,2000,8228.402912
-926.131958,2000,8263.508245
-1290.834948,2000,8298.725005
-1113.319852,2000,8333.526771
-641.496201,2000,8368.410248
-864.574813,2000,8402.946714
-884.010206,2000,8437.151983
-366.861885,2000,8471.340023
-825.577897,2000,8505.96641
