#{"t_start": 1616186056.8804157, "env_id": "ur5e_reacher-v5"}
r,l,t
-40.0,2000,6.585283
-40.0,2000,39.664982
-40.0,2000,74.133866
-40.0,2000,108.107891
-40.0,2000,142.565021
-40.0,2000,177.199551
-40.0,2000,210.999957
-40.0,2000,245.154544
-40.0,2000,279.234532
-40.0,2000,314.116904
-40.0,2000,349.121857
-40.0,2000,383.533904
-40.0,2000,417.79086
-40.0,2000,451.816788
-40.0,2000,485.822695
-40.0,2000,520.881649
-40.0,2000,555.472887
-40.0,2000,589.770903
-40.0,2000,623.840668
-40.0,2000,658.625137
-40.0,2000,693.444047
-40.0,2000,728.038294
-40.0,2000,762.580966
-40.0,2000,796.992622
-40.0,2000,831.667816
-40.0,2000,865.511462
-40.0,2000,900.057127
-40.0,2000,933.908659
-40.0,2000,967.815303
-40.0,2000,1002.812982
-40.0,2000,1037.573046
-40.0,2000,1072.177607
-40.0,2000,1106.583428
-40.0,2000,1141.51128
-40.0,2000,1174.911845
-40.0,2000,1209.336663
-40.0,2000,1244.008735
-40.0,2000,1278.976265
-40.0,2000,1312.824324
-40.0,2000,1346.908302
-40.0,2000,1381.726852
-40.0,2000,1416.694747
-40.0,2000,1451.656644
-40.0,2000,1486.318271
-40.0,2000,1521.372707
-40.0,2000,1555.481012
-40.0,2000,1590.357639
-40.0,2000,1625.058655
-40.0,2000,1659.298173
-40.0,2000,1693.758044
-40.0,2000,1728.303014
-40.0,2000,1762.729497
-40.0,2000,1797.160098
-40.0,2000,1831.428647
-40.0,2000,1865.983409
-40.0,2000,1900.686609
-40.0,2000,1935.79284
-40.0,2000,1969.930484
-40.0,2000,2004.57666
-40.0,2000,2038.131674
-40.0,2000,2071.940944
-40.0,2000,2106.007559
-40.0,2000,2139.973102
-40.0,2000,2174.372645
-40.0,2000,2209.002663
-40.0,2000,2242.549041
-40.0,2000,2276.285809
-40.0,2000,2310.872748
-40.0,2000,2344.691282
-40.0,2000,2379.109121
-40.0,2000,2414.011724
