#{"t_start": 1615872500.0868452, "env_id": "ur5e_reacher-v1"}
r,l,t
-96.0,4800,17067.567938
-96.0,4800,17162.212012
-91.92,4800,17238.216614
-94.98,4800,17308.034455
-96.0,4800,17376.35001
-93.96,4800,17446.391071
-94.98,4800,17516.802879
-96.0,4800,17587.454779
-96.0,4800,17653.377813
-96.0,4800,17727.40058
-96.0,4800,17800.707856
-96.0,4800,17876.087675
-96.0,4800,17950.404471
-96.0,4800,18027.637005
-96.0,4800,18102.504618
-96.0,4800,18177.875253
-96.0,4800,18253.535673
-96.0,4800,18331.207027
-96.0,4800,18405.043802
-93.96,4800,18481.516077
-96.0,4800,18558.219932
-96.0,4800,18637.383899
-96.0,4800,18719.549924
-94.98,4800,18800.333341
-96.0,4800,18878.42411
-96.0,4800,18955.410596
