#{"t_start": 1616185801.5404367, "env_id": "ur5e_reacher-v3"}
r,l,t
-29.98,2000,5.82812
-40.0,2000,35.374372
20.12,2000,65.680326
-40.0,2000,95.960705
90.26,2000,126.645649
-29.98,2000,156.636618
-40.0,2000,186.802111
-19.96,2000,217.714501
-29.98,2000,248.974887
60.2,2000,280.574462
-29.98,2000,315.301423
-29.98,2000,349.561917
-29.98,2000,384.041315
40.16,2000,418.915968
0.08,2000,453.73982
-29.98,2000,487.852754
-29.98,2000,522.599518
30.14,2000,556.914859
10.1,2000,592.603054
-40.0,2000,627.362066
-40.0,2000,660.905091
260.6,2000,695.549004
-40.0,2000,729.85164
-9.94,2000,765.169264
-40.0,2000,799.84202
-19.96,2000,833.962237
10.1,2000,868.825209
100.28,2000,903.358405
-40.0,2000,937.403675
-40.0,2000,972.946583
-40.0,2000,1007.713153
-29.98,2000,1042.416155
-19.96,2000,1077.119819
0.08,2000,1111.720933
-40.0,2000,1146.105154
0.08,2000,1181.008171
-19.96,2000,1214.295559
-40.0,2000,1249.553087
-40.0,2000,1284.059906
-40.0,2000,1318.524759
-29.98,2000,1353.179735
140.36,2000,1387.524971
0.08,2000,1422.089688
-40.0,2000,1456.539484
-19.96,2000,1490.618717
-40.0,2000,1525.035702
-40.0,2000,1559.762385
10.1,2000,1593.900635
60.2,2000,1628.615525
-19.96,2000,1663.538364
-29.98,2000,1698.643256
10.1,2000,1732.714452
-9.94,2000,1767.387749
-40.0,2000,1802.982562
-40.0,2000,1837.740232
-29.98,2000,1872.930029
0.08,2000,1907.402317
-40.0,2000,1942.462651
-40.0,2000,1976.993098
-19.96,2000,2011.381408
-29.98,2000,2045.612518
-29.98,2000,2080.198946
-29.98,2000,2114.922814
-29.98,2000,2149.514193
270.62,2000,2184.139271
-40.0,2000,2219.116123
50.18,2000,2253.647817
-29.98,2000,2288.3195
-29.98,2000,2322.998619
-40.0,2000,2357.168966
-19.96,2000,2391.544215
300.68,2000,2425.318316
-40.0,2000,2459.541914
90.26,2000,2493.779993
-40.0,2000,2527.798153
-19.96,2000,2562.341516
190.46,2000,2596.30644
-40.0,2000,2630.897273
-29.98,2000,2665.661904
30.14,2000,2700.306958
10.1,2000,2734.34967
20.12,2000,2769.17477
-9.94,2000,2803.68771
-19.96,2000,2838.494237
60.2,2000,2872.960292
-19.96,2000,2906.802984
-9.94,2000,2940.868653
-19.96,2000,2975.14094
-19.96,2000,3009.06722
-9.94,2000,3043.036239
0.08,2000,3076.932599
-40.0,2000,3110.973513
-40.0,2000,3144.666656
-40.0,2000,3179.291602
-19.96,2000,3213.797095
-19.96,2000,3248.147118
-9.94,2000,3282.53405
-40.0,2000,3316.790831
-29.98,2000,3350.273998
-40.0,2000,3385.097178
-19.96,2000,3419.505563
-29.98,2000,3453.5668
70.22,2000,3487.97068
30.14,2000,3521.665785
10.1,2000,3556.154933
60.2,2000,3589.887559
-40.0,2000,3623.888362
100.28,2000,3658.358021
-40.0,2000,3691.348861
-19.96,2000,3725.212403
100.28,2000,3759.907272
-9.94,2000,3793.987791
-29.98,2000,3828.298318
-40.0,2000,3863.187213
310.7,2000,3896.807641
-40.0,2000,3931.426214
30.14,2000,3965.82104
100.28,2000,4000.33003
-19.96,2000,4035.066971
-29.98,2000,4070.275513
-19.96,2000,4104.317193
-40.0,2000,4138.890214
20.12,2000,4173.056397
-9.94,2000,4205.121516
30.14,2000,4235.91237
-19.96,2000,4320.722754
-40.0,2000,4355.126819
-40.0,2000,4387.697798
-19.96,2000,4421.764576
-40.0,2000,4455.914626
0.08,2000,4490.102392
-29.98,2000,4523.295971
0.08,2000,4556.276032
-40.0,2000,4590.752734
-40.0,2000,4625.280244
-19.96,2000,4659.380047
0.08,2000,4693.822081
-29.98,2000,4727.597545
-9.94,2000,4761.23163
-40.0,2000,4796.039663
-9.94,2000,4829.960582
-40.0,2000,4864.323398
-19.96,2000,4899.172403
2014.1,2000,4933.957819
0.08,2000,4968.186423
-40.0,2000,5001.898978
-29.98,2000,5036.205904
-40.0,2000,5069.486721
-29.98,2000,5104.06675
-40.0,2000,5137.903136
-40.0,2000,5172.33472
-40.0,2000,5206.864455
-40.0,2000,5240.980573
-9.94,2000,5275.097655
20.12,2000,5309.931495
-40.0,2000,5344.103117
-40.0,2000,5378.141585
-40.0,2000,5412.407013
-29.98,2000,5446.731246
471.02,2000,5481.198887
-40.0,2000,5516.056451
-29.98,2000,5550.349595
0.08,2000,5584.423598
30.14,2000,5618.493981
20.12,2000,5652.509149
190.46,2000,5686.915321
-29.98,2000,5720.523704
-40.0,2000,5754.776318
40.16,2000,5788.853056
170.42,2000,5823.516237
-29.98,2000,5857.787681
-40.0,2000,5892.064287
-40.0,2000,5927.065126
40.16,2000,5961.317711
-40.0,2000,5995.567414
-40.0,2000,6030.581615
130.34,2000,6064.952622
-40.0,2000,6099.719793
-40.0,2000,6134.396044
120.32,2000,6168.350977
-29.98,2000,6203.049932
481.04,2000,6237.082927
-40.0,2000,6271.195092
-40.0,2000,6305.383299
110.3,2000,6340.729093
-40.0,2000,6375.715605
-40.0,2000,6410.112415
180.44,2000,6445.05589
170.42,2000,6479.909834
-29.98,2000,6514.903595
170.42,2000,6549.092905
-29.98,2000,6583.306842
40.16,2000,6617.259089
-40.0,2000,6651.44376
-19.96,2000,6685.807123
-40.0,2000,6720.349501
-9.94,2000,6755.740242
-29.98,2000,6790.503397
220.52,2000,6824.785169
-19.96,2000,6859.333864
100.28,2000,6894.070271
-40.0,2000,6928.97113
-9.94,2000,6963.199018
-40.0,2000,6997.666393
-19.96,2000,7032.060503
-29.98,2000,7065.894071
50.18,2000,7100.248454
-40.0,2000,7134.894058
-29.98,2000,7169.476486
-40.0,2000,7204.274065
-29.98,2000,7240.023912
-19.96,2000,7275.033237
30.14,2000,7309.522762
40.16,2000,7343.910181
450.98,2000,7378.568938
-40.0,2000,7413.273681
-40.0,2000,7446.786348
-40.0,2000,7481.375212
-29.98,2000,7515.128746
-9.94,2000,7549.024289
